Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E05000241;King's Park;Hackney;18,742;181.4;1.8;103.3;10,332;;11,098;61.2
E05000242;Leabridge;Hackney;12,477;106.4;1.1;117.3;11,727;;14,039;131.9
E05000243;Lordship;Hackney;15,832;119.1;1.2;132.9;13,293;;12,280;103.1
E05000244;New River;Hackney;14,056;98.3;1.0;143.0;14,299;;12,551;127.7
E05000245;Queensbridge;Hackney;18,256;108;1.1;169.0;16,904;;13,670;126.6
E05000246;Springfield;Hackney;15,001;95.2;1.0;157.6;15,757;;12,378;130.0
E05000247;Stoke Newington Central;Hackney;14,128;71.2;0.7;198.4;19,843;;12,445;174.8
E05000248;Victoria;Hackney;13,464;80.4;0.8;167.5;16,746;;13,231;164.6
E05000249;Wick;Hackney;14,325;163.2;1.6;87.8;8,778;;11,734;71.9
E05000250;Addison;Hammersmith and Fulham;13,775;55.3;0.6;249.1;24,910;;11,518;208.3
E05000251;Askew;Hammersmith and Fulham;11,721;75.9;0.8;154.4;15,443;;14,160;186.6
E05000252;Avonmore and Brook Green;Hammersmith and Fulham;14,869;89.5;0.9;166.1;16,613;;12,216;136.5
E05000253;College Park and Old Oak;Hammersmith and Fulham;11,991;344;3.4;34.9;3,486;;9,175;26.7
E05000254;Fulham Broadway;Hammersmith and Fulham;13,452;66.7;0.7;201.7;20,168;;10,996;164.9
E05000255;Fulham Reach;Hammersmith and Fulham;12,506;88.2;0.9;141.8;14,179;;11,306;128.2
E05000256;Hammersmith Broadway;Hammersmith and Fulham;12,433;110.4;1.1;112.6;11,262;;11,923;108.0
E05000257;Munster;Hammersmith and Fulham;15,722;62.3;0.6;252.4;25,236;;11,004;176.6
E05000258;North End;Hammersmith and Fulham;11,137;63.8;0.6;174.6;17,456;;11,589;181.6
E05000259;Palace Riverside;Hammersmith and Fulham;12,340;148.1;1.5;83.3;8,332;;7,483;50.5
E05000260;Parsons Green and Walham;Hammersmith and Fulham;7,452;89.8;0.9;83.0;8,298;;10,813;120.4
E05000261;Ravenscourt Park;Hammersmith and Fulham;11,362;122;1.2;93.1;9,313;;10,785;88.4
