Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E05000619;Northcote;Wandsworth;15,131;167.9;1.7;90.1;9,012;;14,940;89.0
E05000620;Queenstown;Wandsworth;16,313;320.8;3.2;50.9;5,085;;16,331;50.9
E05000621;Roehampton;Wandsworth;28,298;442.4;4.4;64.0;6,396;;16,132;36.5
E05000622;St. Mary's Park;Wandsworth;16,395;139.6;1.4;117.4;11,744;;16,556;118.6
E05000623;Shaftesbury;Wandsworth;20,365;94.8;0.9;214.8;21,482;;14,160;149.4
E05000624;Southfields;Wandsworth;14,589;152.2;1.5;95.9;9,585;;16,256;106.8
E05000625;Thamesfield;Wandsworth;18,199;192.1;1.9;94.7;9,474;;14,842;77.3
E05000626;Tooting;Wandsworth;18,207;160.4;1.6;113.5;11,351;;16,239;101.2
E05000627;Wandsworth Common;Wandsworth;17,411;276;2.8;63.1;6,308;;15,247;55.2
E05000628;West Hill;Wandsworth;15,870;168.8;1.7;94.0;9,402;;16,402;97.2
E05000629;West Putney;Wandsworth;16,969;184.6;1.8;91.9;9,192;;14,742;79.9
E05000630;Abbey Road;Westminster;15,561;109.5;1.1;142.1;14,211;;11,250;102.7
E05000631;Bayswater;Westminster;13,431;51.8;0.5;259.3;25,929;;10,300;198.8
E05000632;Bryanston and Dorset Square;Westminster;11,757;72.3;0.7;162.6;16,261;;11,991;165.9
E05000633;Churchill;Westminster;14,219;60.9;0.6;233.5;23,348;;9,618;157.9
E05000634;Church Street;Westminster;12,755;44.4;0.4;287.3;28,727;;11,760;264.9
E05000635;Harrow Road;Westminster;14,182;49.5;0.5;286.5;28,651;;12,034;243.1
E05000636;Hyde Park;Westminster;13,855;95.9;1.0;144.5;14,447;;12,462;129.9
E05000637;Knightsbridge and Belgravia;Westminster;16,529;359.3;3.6;46.0;4,600;;9,270;25.8
E05000638;Lancaster Gate;Westminster;10,308;63;0.6;163.6;16,362;;13,195;209.4
E05000639;Little Venice;Westminster;15,379;63.6;0.6;241.8;24,181;;10,633;167.2
E05000640;Maida Vale;Westminster;13,173;64.6;0.6;203.9;20,392;;10,210;158.0
E05000641;Marylebone High Street;Westminster;11,992;100.1;1.0;119.8;11,980;;10,366;103.6
E05000642;Queen's Park;Westminster;12,670;58.3;0.6;217.3;21,732;;12,563;215.5
E05000643;Regent's Park;Westminster;13,938;225.6;2.3;61.8;6,178;;12,067;53.5
E05000644;St. James's;Westminster;13,738;346.8;3.5;39.6;3,961;;10,828;31.2
E05000645;Tachbrook;Westminster;15,903;44.4;0.4;358.2;35,818;;8,158;183.7
E05000646;Vincent Square;Westminster;9,359;68.6;0.7;136.4;13,643;;9,988;145.6
E05000647;Warwick;Westminster;12,785;57.4;0.6;222.7;22,274;;9,369;163.2
E05000648;Westbourne;Westminster;10,737;67.4;0.7;159.3;15,930;;12,759;189.3
E05000649;West End;Westminster;14,417;199.6;2.0;72.2;7,223;;10,575;53.0
E12000007;London;London;13,749;159471.9;1,594.7;0.1;9;;8,173,941;51.3
