barrier,geometry,source,name,nodes,description,landuse,surface,contact:twitter,website,produce,note,trees,opening_hours,operator,start_date,ways,type
,"POLYGON ((-0.0811594 51.44653, -0.0810732 51.4465627, -0.0809068 51.4465512, -0.0807712 51.4465185, -0.0807342 51.4464571, -0.0807681 51.4463553, -0.0808051 51.4462881, -0.0809129 51.446242, -0.0810824 51.446242, -0.0812149 51.4462535, -0.0812981 51.4462727, -0.081258 51.4464129, -0.0811594 51.44653))",,Dulwich Park Orchard,"[6488545293, 6488545294, 6488545295, 6488545296, 6488545297, 6488545298, 6488545299, 6488545300, 6488545301, 6488545302, 6488545303, 6488545304, 6488545293]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.0336686 51.3809635, -0.0332207 51.380967, -0.0332284 51.381342, -0.0336763 51.3813385, -0.0336686 51.3809635))",,,"[7618313870, 7618313869, 7618313868, 7618313867, 7618313870]",,orchard,,,,,,apple_trees,,,,,
,"POLYGON ((-0.3740184 51.4720223, -0.3740459 51.4719985, -0.3738849 51.4719083, -0.3735801 51.471889, -0.373524 51.4719371, -0.3740184 51.4720223))",,,"[7856994272, 7856994273, 7856994276, 7856994277, 7856994278, 7856994272]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.1452777 51.6402813, -0.1453045 51.6400216, -0.144583 51.6399875, -0.1445736 51.6402072, -0.1446862 51.6402421, -0.1447761 51.6403037, -0.1450229 51.6403129, -0.145043 51.6402954, -0.1452777 51.6402813))",,,"[7876612921, 7876612922, 7876612923, 7876612924, 7876612925, 7876612926, 7876612927, 7876612928, 7876612921]",,orchard,,,,apple,,,,,,,
,"POLYGON ((0.0904473 51.5473619, 0.0901591 51.5471942, 0.0900469 51.5471254, 0.0900402 51.5470514, 0.0900033 51.5470191, 0.0900167 51.5469597, 0.0899966 51.5469295, 0.0900653 51.5468941, 0.0901139 51.5469045, 0.0902262 51.5469681, 0.0902446 51.5469962, 0.090253 51.5470504, 0.0903384 51.5470962, 0.0904239 51.5471473, 0.0904892 51.5471546, 0.0905411 51.5471369, 0.0906182 51.5471202, 0.0906551 51.5471233, 0.0906484 51.5471556, 0.0905462 51.5473619, 0.0905127 51.5473786, 0.0904473 51.5473619))",,Barking Park Community Orchard,"[8286492006, 8286492005, 8286492004, 8286492003, 8286492002, 8286492001, 8286492000, 8286491999, 8286491998, 8286491997, 8286491996, 8286491995, 8286491994, 8286491993, 8286491992, 8286491991, 8286491990, 8286491989, 8286491988, 8286491987, 8286491986, 8286492006]",,orchard,,,,,,,,,,,
,"POLYGON ((0.0131948 51.5382385, 0.0135271 51.5381241, 0.0135071 51.5375402, 0.01349 51.5375218, 0.0133867 51.5374788, 0.013326 51.5374717, 0.0131833 51.5376725, 0.013171 51.5378048, 0.0131948 51.5382385))",,,"[8657037718, 8657037717, 8657022116, 8657022115, 8657022114, 8657022113, 8657022112, 8906940298, 8657037718]",,orchard,,,,,,apple_trees,,,,,
,"POLYGON ((-0.4022183 51.5866161, -0.4021148 51.5864051, -0.4018966 51.5864411, -0.4018968 51.5866775, -0.4022183 51.5866161))",,,"[8684367920, 8684367921, 8684367922, 8684367923, 8684367920]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.1213073 51.4836364, -0.1213835 51.4835683, -0.1213493 51.4834541, -0.121315 51.4833805, -0.1212421 51.4833289, -0.1210864 51.4833963, -0.1210521 51.4835318, -0.1210809 51.4836226, -0.1213073 51.4836364))",,,"[9315695078, 9315695079, 9315695080, 9315695081, 9315695082, 9315695083, 9315695084, 9315695085, 9315695078]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.065939 51.533003, -0.0658694 51.5331434, -0.0655127 51.5330683, -0.0655866 51.5329238, -0.0657531 51.5329613, -0.065939 51.533003))",,Haggerston Park Community Orchard,"[9386133771, 9386133772, 9386133773, 9386133774, 9388063695, 9386133771]",,orchard,,,https://www.haggerstonorchard.org/,,,,,,,,
,"POLYGON ((-0.341097 51.5031318, -0.3411495 51.5030649, -0.3411964 51.5029984, -0.3409055 51.5030107, -0.3406353 51.5029964, -0.3404269 51.5029446, -0.3403429 51.5030021, -0.3405671 51.503059, -0.3408639 51.5030836, -0.341097 51.5031318))",,Bernd's Orchard,"[251776842, 9518306260, 9518306257, 3330016701, 251776846, 251776845, 251776844, 251776843, 3330016700, 251776842]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.0439543 51.5494475, -0.0438337 51.5494746, -0.043808 51.5494303, -0.0439285 51.5494032, -0.0439543 51.5494475))",,Homerton Grove Community Orchard,"[9910168691, 9910168692, 9910168689, 9910168690, 9910168691]",,orchard,,,,,,apple_trees;plum_trees;apricot_trees,,Core Landscapes,2021,,
,"POLYGON ((-0.0523556 51.5485207, -0.0520352 51.5481183, -0.0531447 51.5479333, -0.0533284 51.5482682, -0.0523994 51.5485094, -0.0523556 51.5485207))",,,"[10039567439, 10039567440, 10039567441, 10039567442, 10041747230, 10039567439]",,orchard,grass,,,,,,,,,,
,"POLYGON ((-0.0651773 51.5547543, -0.0650592 51.554783, -0.0649255 51.5549003, -0.0651503 51.5550044, -0.0654913 51.5551214, -0.0655738 51.5551449, -0.0656686 51.5551682, -0.0657384 51.5549642, -0.0655665 51.5547026, -0.0654381 51.5547189, -0.0651773 51.5547543))",,Hackney Downs Community Orchard,"[10135858852, 10135858853, 10135858854, 10135858857, 10135858859, 10135858860, 10135858861, 10135858862, 10135858863, 10135858864, 10135858852]",,orchard,,,,,,apple_trees,,,,,
,"POLYGON ((-0.0557374 51.3556319, -0.0557491 51.3560314, -0.0554269 51.3561131, -0.0551981 51.3560795, -0.0553545 51.3556319, -0.0555413 51.3556071, -0.0558425 51.355419, -0.0560737 51.3552936, -0.0563539 51.3554248, -0.0564893 51.355629, -0.0557374 51.3556319), (-0.0562178 51.355475, -0.056227 51.3554587, -0.0562132 51.3554385, -0.0561777 51.3554327, -0.0561469 51.3554385, -0.0561392 51.3554654, -0.0561531 51.3554818, -0.0561993 51.3554895, -0.0562178 51.355475))",,,"[[[7643861409, 7643861410, 7643861411, 7643861412, 7643861413, 7643861414, 7643861415, 7643861416, 7643861417, 7643861418, 7643861409], [7643979461, 7643979462, 7643979463, 7643979464, 7643979465, 7643979466, 7643979467, 7643979468, 7643979461]]]",,orchard,,,,,,,,,,"[818497583, 818512636]",multipolygon
