geometry,created_by,barrier,natural,nodes,landuse,leisure,name,surface,note,building,source,source:name,ways,type,wikidata,designation,not:name,source:designation,operator
"POLYGON ((-0.246718 51.6176347, -0.2462481 51.6174089, -0.2457317 51.6171544, -0.245472 51.6170264, -0.24514 51.6169114, -0.2450169 51.6168844, -0.2447933 51.6168376, -0.2447011 51.6168475, -0.24461 51.616835, -0.244793 51.6171479, -0.2449511 51.6172375, -0.245065 51.6173408, -0.2450896 51.6173617, -0.2451954 51.6174243, -0.2451605 51.617675, -0.2451487 51.6178873, -0.2451687 51.6179084, -0.2451806 51.6179152, -0.2455988 51.6179508, -0.2456972 51.6179877, -0.2457914 51.6180152, -0.2459004 51.6180083, -0.2459747 51.6179624, -0.2459545 51.6178392, -0.2462795 51.6176094, -0.246718 51.6176347))",,,,"[1153273636, 2088529226, 9644331870, 195627, 1169034045, 578482518, 202005, 9248304677, 201999, 1153273639, 1153273641, 2088544790, 2088544775, 1153273681, 1153273576, 5279197897, 5279197898, 1153273634, 1153273602, 2088544799, 5279197900, 1153273662, 5279197892, 5279197893, 572684428, 1153273636]",village_green,,Simmonds Mead,,,,,Sign at site from Mill Hill Preservation Society,,,,,,,
"POLYGON ((-0.2209562 51.6491111, -0.2206171 51.6492402, -0.2200737 51.6489453, -0.2199286 51.6490227, -0.219718 51.6489062, -0.2199094 51.648768, -0.2203106 51.6485786, -0.2205093 51.6487594, -0.221021 51.6486385, -0.2212529 51.6489603, -0.2209562 51.6491111))",,,,"[1203815964, 1203815953, 582499698, 1203770141, 1203770144, 1656973636, 1203770146, 1203770148, 1203770150, 15724976, 1203815964]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.2193476 51.6482357, -0.2191405 51.6482175, -0.2190085 51.6481539, -0.2189635 51.6481149, -0.2191176 51.6480799, -0.2190337 51.6479613, -0.2188833 51.647978, -0.2188953 51.6478896, -0.2189554 51.6478126, -0.2190391 51.6477456, -0.2191396 51.6477158, -0.2191872 51.6477358, -0.2193923 51.6482128, -0.2193476 51.6482357))",,,,"[1203997364, 1203997366, 1657736880, 6282873861, 6282873862, 6282873863, 6282873864, 6282873865, 6282873867, 6282873866, 1657736885, 6282873868, 6282873860, 1203997364]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.2087546 51.6492993, -0.2080353 51.649286, -0.2080876 51.6488334, -0.2085693 51.6488554, -0.2088065 51.6488707, -0.2087546 51.6492993))",,,,"[1204398509, 1241203019, 1241203040, 1204398510, 1241203022, 1204398509]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.2179115 51.6439999, -0.2182065 51.6437336, -0.2180027 51.6436087, -0.2178365 51.6436607, -0.2174555 51.6436886, -0.2179115 51.6439999))",,,,"[1204960648, 1204960654, 1204960658, 5448858234, 1204960662, 1204960648]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1990122 51.6661255, -0.1990731 51.6658194, -0.1991139 51.6655169, -0.1991122 51.6654955, -0.1990971 51.6654862, -0.1990557 51.6654853, -0.1989862 51.6655806, -0.1988912 51.6657414, -0.1987857 51.6659199, -0.1986567 51.6660808, -0.1988361 51.6661034, -0.1987462 51.6667583, -0.1987052 51.6669155, -0.1988088 51.6669197, -0.1988331 51.6669146, -0.1988431 51.6669028, -0.1990122 51.6661255))",,,,"[1225140360, 9178900385, 9178900380, 9178900381, 9178900383, 9178900382, 9178900384, 6696493286, 9178900386, 6696493289, 9453806656, 6696493290, 9453806661, 9453806662, 9453806663, 9453806660, 1225140360]",village_green,,,grass,,,,,,,,,,,
"POLYGON ((-0.1485671 51.5578219, -0.1480448 51.558031, -0.1479484 51.5580737, -0.1483606 51.5584608, -0.1481109 51.5585382, -0.1463076 51.5568288, -0.1462036 51.5568664, -0.1460121 51.5566946, -0.1459298 51.5566208, -0.1459791 51.5566019, -0.1462336 51.5565043, -0.1463006 51.5564786, -0.1466325 51.5567992, -0.146775 51.5566849, -0.146831 51.5566126, -0.1469112 51.5565727, -0.1473824 51.5570107, -0.1476704 51.5572783, -0.1482722 51.5575373, -0.1485671 51.5578219))",,,,"[5253348095, 902513218, 7518343470, 7518343469, 7518343468, 7516025481, 7516025480, 8275082463, 1433413680, 7579948613, 7579948616, 6241256182, 1433413677, 7542607560, 7542607559, 620812226, 620812225, 620812224, 1433413689, 5253348095]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1375647 51.5261934, -0.1376231 51.5261786, -0.1378433 51.5262179, -0.1378706 51.526209, -0.1378932 51.5261268, -0.1378421 51.5260705, -0.137629 51.5260342, -0.1375374 51.5261668, -0.1375647 51.5261934))",,,,"[1319108538, 1319108546, 1319108534, 1319108545, 1319108532, 1319108525, 1319108548, 1319108539, 1319108538]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.195792 51.5385332, -0.1956779 51.5385822, -0.1956546 51.5385591, -0.1953533 51.5386864, -0.1955875 51.5388943, -0.1959199 51.5387641, -0.1959445 51.5387845, -0.196028 51.5387482, -0.195792 51.5385332))",,,,"[1361591482, 802883368, 1361583716, 802883360, 1361583841, 2101804533, 2101804534, 1361583776, 1361591482]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1926326 51.5417198, -0.1926869 51.5418091, -0.192773 51.5418706, -0.1930139 51.5417456, -0.1930602 51.5417079, -0.1930554 51.5416493, -0.1930139 51.5416057, -0.1929677 51.5415858, -0.1928991 51.5415809, -0.1926007 51.5416424, -0.1926326 51.5417198))",,,,"[1571313921, 1571313938, 1571313956, 1571313927, 1571313918, 1571313912, 1571313901, 1571313899, 1571313898, 1571313906, 1571313921]",village_green,,,,,,,,,,,,,,
