name,tourism,geometry
Battersea Power Station,attraction,"POLYGON ((-0.1455049 51.4824815, -0.1456932 51.4819445, -0.1458606 51.4814883, -0.1456581 51.4814597, -0.1456719 51.4814186, -0.1455109 51.4813932, -0.145561 51.4812521, -0.1453202 51.4812173, -0.1453605 51.4811162, -0.1450148 51.4810689, -0.144977 51.4811679, -0.1446314 51.4811157, -0.1446663 51.4810148, -0.1443279 51.4809694, -0.1443126 51.4810135, -0.1438838 51.4809546, -0.1438275 51.4811146, -0.1436686 51.4810922, -0.1434658 51.4816012, -0.1433717 51.4815898, -0.1433036 51.4817736, -0.1434043 51.4817866, -0.1432431 51.4822705, -0.1434274 51.4822965, -0.1434244 51.4823053, -0.1435665 51.4823237, -0.1435689 51.4823166, -0.1437426 51.4823414, -0.1437057 51.4824453, -0.144128 51.4825034, -0.1441457 51.4824533, -0.1445042 51.482499, -0.1444861 51.4825467, -0.1448225 51.4825962, -0.1448604 51.4824962, -0.1451085 51.4825317, -0.1451442 51.4824318, -0.1451649 51.4824346, -0.1455049 51.4824815))"
HMS Belfast,attraction,"POLYGON ((-0.0802269 51.5064074, -0.0803229 51.5064414, -0.0805033 51.5064901, -0.0807496 51.5065498, -0.0810462 51.5066087, -0.0813478 51.5066588, -0.0815944 51.5067034, -0.081795 51.5067332, -0.0820145 51.5067653, -0.0821708 51.5067834, -0.0823151 51.5067885, -0.0824516 51.50679, -0.0825625 51.5067866, -0.0824698 51.5067408, -0.0823523 51.506688, -0.0822296 51.5066509, -0.0818574 51.5065721, -0.0814055 51.5064757, -0.0810926 51.5064128, -0.0807892 51.5063636, -0.0802993 51.5063065, -0.0802694 51.5063047, -0.0802144 51.5063008, -0.0801968 51.5062996, -0.0800971 51.5062928, -0.0800328 51.5062927, -0.0800077 51.5062991, -0.0799979 51.5063103, -0.080004 51.5063185, -0.0800265 51.50633, -0.0800641 51.5063474, -0.0801067 51.506365, -0.0802269 51.5064074))"
BT Tower,attraction,"POLYGON ((-0.1387245 51.5214108, -0.1387441 51.5213969, -0.1387697 51.5213875, -0.138802 51.5213833, -0.1388346 51.5213863, -0.1388636 51.521396, -0.1388855 51.5214113, -0.1388978 51.5214303, -0.1388989 51.5214508, -0.1388886 51.5214703, -0.1388683 51.5214864, -0.1388404 51.5214973, -0.1388113 51.5215014, -0.1387817 51.5214998, -0.1387543 51.5214925, -0.1387318 51.5214803, -0.1387166 51.5214644, -0.13871 51.5214463, -0.1387127 51.5214279, -0.1387245 51.5214108))"
Royal Festival Hall,attraction,"POLYGON ((-0.1175407 51.5056803, -0.1173955 51.5058315, -0.1172295 51.5059911, -0.1171091 51.5060946, -0.1169254 51.5062849, -0.1168191 51.5062352, -0.1166244 51.5061359, -0.1160284 51.5058343, -0.1165439 51.5053154, -0.1165904 51.5053331, -0.1175407 51.5056803))"
City Hall,attraction,"POLYGON ((-0.0786949 51.5050478, -0.0786255 51.5050491, -0.0785572 51.5050413, -0.078493 51.5050248, -0.0784357 51.5050004, -0.0783891 51.5049707, -0.0783676 51.5049505, -0.0783521 51.5049322, -0.0783339 51.504909, -0.0783155 51.5048764, -0.0783079 51.5048518, -0.078305 51.5048321, -0.0783021 51.5048138, -0.0783046 51.5047848, -0.078309 51.5047664, -0.0783138 51.5047493, -0.07832 51.5047349, -0.0783295 51.5047147, -0.0783485 51.5046856, -0.0783769 51.5046559, -0.078405 51.5046348, -0.0784343 51.5046146, -0.0784554 51.5046038, -0.0784831 51.5045901, -0.078532 51.5045731, -0.0785531 51.5045679, -0.0785778 51.5045624, -0.078602 51.5045587, -0.0786261 51.5045566, -0.0786649 51.5045552, -0.0787213 51.5045596, -0.0787509 51.5045645, -0.0787945 51.5045758, -0.078836 51.5045933, -0.0788607 51.504605, -0.0788814 51.5046169, -0.0789133 51.5046367, -0.0789331 51.5046542, -0.07895 51.5046711, -0.0789745 51.5047008, -0.0789885 51.5047283, -0.0789958 51.5047487, -0.0790011 51.5047684, -0.0790044 51.504779, -0.0790073 51.5048039, -0.0790041 51.5048337, -0.0790006 51.5048513, -0.0789951 51.5048682, -0.0789809 51.5048988, -0.0789556 51.5049317, -0.0789357 51.5049508, -0.0789139 51.5049701, -0.07888 51.5049926, -0.078825 51.505019, -0.0787624 51.5050376, -0.0786949 51.5050478))"
Chelsea Physic Garden,attraction,"POLYGON ((-0.1623744 51.4852947, -0.1621214 51.4851532, -0.161823 51.4849577, -0.161362 51.4846586, -0.1611165 51.4844232, -0.1610257 51.4843347, -0.1609871 51.4842907, -0.1609684 51.4842711, -0.1609614 51.4842545, -0.1609665 51.4842443, -0.1609779 51.4842352, -0.161009 51.4842297, -0.1618983 51.4841032, -0.1626569 51.484002, -0.1626869 51.4840955, -0.1628744 51.4842082, -0.163215 51.4844057, -0.1633613 51.4844815, -0.1623744 51.4852947))"
Westminster Cathedral,attraction,"POLYGON ((-0.1401268 51.4961258, -0.1399545 51.496186, -0.1399833 51.4962163, -0.1397621 51.496298, -0.1397332 51.4962677, -0.1395294 51.4963414, -0.1394775 51.4962915, -0.1394001 51.4962149, -0.1394064 51.4962124, -0.1391743 51.4959839, -0.1391716 51.4959856, -0.139028 51.4958392, -0.1390039 51.4958139, -0.1390075 51.4958125, -0.1389121 51.4957193, -0.1389121 51.4957084, -0.1389382 51.4956988, -0.1389141 51.4956742, -0.1389207 51.4956709, -0.1389131 51.4956623, -0.1389107 51.4956535, -0.1389192 51.4956386, -0.1389322 51.4956297, -0.1389563 51.4956247, -0.1389821 51.4956205, -0.1389654 51.4956036, -0.1389671 51.4955915, -0.1389978 51.4955795, -0.1390153 51.4955834, -0.1389876 51.4955584, -0.1389775 51.4955448, -0.1389573 51.4955443, -0.1389577 51.4955322, -0.1389712 51.4955331, -0.1389691 51.4955126, -0.1389738 51.4954926, -0.1389602 51.4954901, -0.1389656 51.4954744, -0.1389825 51.4954796, -0.1389939 51.4954682, -0.1390039 51.4954608, -0.1390203 51.4954532, -0.1390384 51.4954463, -0.1390607 51.4954403, -0.1390965 51.4954363, -0.1390976 51.495426, -0.1391196 51.4954229, -0.1391196 51.495408, -0.1391149 51.4953931, -0.1391629 51.4953738, -0.1393484 51.4952968, -0.1394546 51.4954011, -0.1394115 51.4954191, -0.1394798 51.4954879, -0.1395128 51.4955212, -0.1396126 51.4956217, -0.1396417 51.4956521, -0.1401268 51.4961258))"
Deen City Farm and Riding School,attraction,"POLYGON ((-0.1877176 51.406662, -0.1875285 51.4065394, -0.1873167 51.4064397, -0.1868903 51.4062951, -0.1868257 51.4063032, -0.1853722 51.4076663, -0.1845643 51.4084241, -0.1848793 51.4085076, -0.1849376 51.4085101, -0.1854306 51.4086453, -0.1854694 51.4086364, -0.1856129 51.4085456, -0.1856719 51.4084988, -0.1860729 51.4081458, -0.1862054 51.4080259, -0.186659 51.4076154, -0.1868259 51.4074655, -0.1869899 51.407305, -0.1872017 51.4070954, -0.1875624 51.4067801, -0.1877176 51.406662))"
Eltham Palace,attraction,"POLYGON ((0.0478437 51.4470598, 0.0478508 51.4470797, 0.0476116 51.4471126, 0.0475566 51.446957, 0.0477946 51.4469243, 0.0478026 51.4469472, 0.0485647 51.4468426, 0.0485912 51.4469176, 0.0486242 51.4469131, 0.0486854 51.4469557, 0.0486756 51.4469769, 0.0487982 51.4469988, 0.0486507 51.4473184, 0.0485978 51.4473089, 0.0485885 51.447329, 0.0485123 51.4473153, 0.0485223 51.4472938, 0.0484747 51.4472853, 0.0485407 51.4471424, 0.0484708 51.4471185, 0.0484046 51.4470852, 0.0483531 51.4470479, 0.0483061 51.4469963, 0.0478437 51.4470598))"
Chelsea Harbour,attraction,"POLYGON ((-0.1815528 51.4757844, -0.1815466 51.4757995, -0.1815322 51.475813, -0.1815173 51.4758241, -0.1814961 51.4758333, -0.1814678 51.4758384, -0.181436 51.4758367, -0.1810497 51.4757119, -0.1804409 51.4755139, -0.1804288 51.4754988, -0.1805008 51.4752392, -0.1806475 51.4750267, -0.1806486 51.4750127, -0.1806405 51.4749947, -0.180568 51.4749489, -0.1806137 51.4749389, -0.1806305 51.4749039, -0.1806895 51.4749463, -0.1807252 51.4749486, -0.1807617 51.4749358, -0.180974 51.4748131, -0.1810003 51.4748111, -0.1810293 51.4748225, -0.1816241 51.4752068, -0.1816526 51.4752409, -0.1815528 51.4757844))"
