access,barrier,bicycle,opening_hours,wheelchair,geometry,highway,created_by,source,man_made,ref,survey:date,foot,name,place,access:conditional,horse,fixme,amenity,operator,height,name:ru,note,check_date,covered,description,source:name,leisure,natural,alt_name,addr:city,addr:postcode,addr:street,brand,fee,layer,operator:wikidata,species,leaf_cycle,leaf_type,species:en,wikidata,dogs,historic,start_date,dog,tourism,opening_hours:url,surface,designation,contact:phone,addr:housename,website,level,addr:housenumber,operator:type,nodes,name:alt,wikipedia,GBV,wikimedia_commons,barbecue,fire,litter,moped,source:designation,name:uk,heritage,heritage:operator,listed_status,ref:GB:nhle,landuse,wikipedia:es,name:ar,name:arz,name:cs,name:cy,name:da,name:de,name:en,name:es,name:eu,name:fa,name:fr,name:ga,name:he,name:id,name:is,name:it,name:ja,name:ko,name:lt,name:nl,name:nn,name:no,name:pl,name:scn,name:sh,name:sk,name:sv,name:tr,name:yue,name:zh,is_in,phone,not:name,fence_type,private,official_name,sport,he:inscription_date,heritage:website,type,owner,email,ref:he,loc_name,landuse_2,area,is_in:district,name:zh-Hans,golf,FIXME,boundary,building,landuse_1,grassland,url,old_name,smoking,fence:height,contact:website,smokefree,disused,postal_code,not:addr:postcode,wikipedia:en,fhrs:id,source:addr,previous_id,garden:type,wheelchair:description:en,protection_title,name:etymology:wikidata,park,incorrect_name,denomination,religion,landcover,name:ur,lit,light:colour,contact:fax,dog:conditional,level:ref,note:level,opening_hours:note,bbq,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,construction,name:ast,name:az,name:be,name:bg,name:bn,name:br,name:ca,name:ceb,name:et,name:fi,name:hi,name:hr,name:hu,name:hy,name:ka,name:lv,name:mr,name:ms,name:nan,name:pt,name:ro,name:sr,name:th,name:vi,name:wuu,protect_class,addr:country,addr:suburb,toilets,ruins,leisure_1,maxspeed,architect,previously,note:history,not:designation,disused:leisure,bench,opening_hours:covid19,image,name:etymology,name:etymology:wikipedia,ways,contact:email,golf:course,golf:par,contact:twitter
,,,,,"POLYGON ((0.0392643 51.3615513, 0.0392316 51.3605973, 0.0416952 51.3607554, 0.0429408 51.3602293, 0.0431187 51.3595103, 0.0445423 51.3590888, 0.0447123 51.359058, 0.0450024 51.3592377, 0.0453248 51.3594009, 0.0456566 51.3595757, 0.0457209 51.3596443, 0.0457781 51.3600105, 0.0454447 51.3601702, 0.0453533 51.3602359, 0.045324 51.3603285, 0.0452743 51.361248, 0.0452542 51.3613987, 0.0451469 51.3615771, 0.0449808 51.362, 0.0438219 51.3617588, 0.0425748 51.3615285, 0.0424728 51.3615268, 0.0421549 51.3615444, 0.0413315 51.3614858, 0.0408943 51.3614565, 0.0405067 51.3613995, 0.0401406 51.3614397, 0.0392643 51.3615513))",,,,,,,,South Park,,,,"Approximate boundary, needs survey",,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2071339022, 2071339015, 2071339012, 2071338998, 2071338952, 2071338934, 2071338887, 2071338860, 33473050, 9466727295, 9466727294, 33473051, 9466727293, 33473052, 9466727292, 9466746123, 9466746122, 9466746121, 33473053, 9466746124, 2951465270, 9466746135, 9466746140, 9466746139, 9466746131, 9466746144, 9466746143, 2071339022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.0329112 51.5123327, -0.0320562 51.5122716, -0.0318994 51.5122512, -0.0319384 51.5122422, -0.0319855 51.5122031, -0.0321453 51.512093, -0.0323584 51.5118463, -0.0324123 51.5118286, -0.0324341 51.5118156, -0.0327506 51.5118775, -0.0327011 51.5119832, -0.0328482 51.5121203, -0.0329112 51.5123327))",,,,,,,,Rectory Gardens,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5165521649, 2076880708, 359748380, 2983767201, 2983767199, 359748379, 2076880707, 2556787895, 2055805761, 2055805778, 2055805804, 5165521647, 5165521649]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.3672105 51.4955554, -0.36711 51.4952955, -0.3671014 51.4952451, -0.3671183 51.4951959, -0.3671757 51.4951483, -0.3672991 51.4950915, -0.3673824 51.4950666, -0.3676263 51.4950381, -0.3677014 51.4950414, -0.3677619 51.4950544, -0.3678087 51.4950798, -0.3678397 51.4951111, -0.3680409 51.4954351, -0.3681947 51.4956505, -0.3681359 51.4957952, -0.3679348 51.4958696, -0.3678117 51.495891, -0.3673864 51.4957674, -0.3673035 51.4957274, -0.3672594 51.4956797, -0.3672105 51.4955554))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2077202738, 2077203319, 2077202736, 2077202737, 2077202733, 2077202740, 2077196845, 2077196851, 2077196821, 2077196828, 2077196857, 2077196847, 2077196830, 3314231843, 3314231829, 3314231844, 2077202734, 2077202741, 2077202735, 567138344, 2077202738]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((0.1834042 51.5969306, 0.1835022 51.5965995, 0.183022 51.5965209, 0.1830561 51.5964338, 0.1835533 51.5965056, 0.1837824 51.5958352, 0.184255 51.5947877, 0.1857714 51.5951053, 0.186015 51.594666, 0.1862069 51.5947068, 0.1863352 51.5947341, 0.186409 51.5947512, 0.186177 51.595197, 0.1872251 51.5954413, 0.1870449 51.595852, 0.1875428 51.5959559, 0.1874891 51.5960757, 0.1869772 51.5959736, 0.1866717 51.5965226, 0.1864725 51.596955, 0.1861739 51.5976031, 0.1858879 51.5976208, 0.1851798 51.5988738, 0.1851578 51.5990515, 0.1851256 51.5996805, 0.1852437 51.6002802, 0.185469 51.6006734, 0.1856363 51.6010666, 0.1858445 51.6013465, 0.1862586 51.6015198, 0.1862522 51.601853, 0.1860805 51.6020929, 0.1860989 51.6023416, 0.185906 51.6023461, 0.1857744 51.6025867, 0.1856885 51.6028811, 0.1855525 51.6028771, 0.1855401 51.6024427, 0.1855242 51.6023211, 0.185517 51.6022045, 0.1854972 51.6019975, 0.1849733 51.6010142, 0.184813 51.6005267, 0.1845239 51.5996473, 0.1841042 51.5989156, 0.1839948 51.5987537, 0.1836172 51.5981246, 0.1834455 51.5974126, 0.1834042 51.5969306))",,,,,,,,Rise Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[60090945, 4788960221, 4788960120, 4788960119, 4788960118, 60090946, 10114997767, 4788960112, 4788960113, 2079790011, 4788960117, 4788960114, 4788960111, 60090948, 4788960230, 4788960229, 4788960228, 4788960227, 298259654, 10117316386, 2079790016, 2079790030, 2079790029, 3568474617, 3568474604, 3568474594, 3568474600, 3568474602, 3568474598, 3568474607, 3568474613, 3568474624, 7769496477, 7769496475, 9569644128, 7769496478, 3568474606, 60090941, 7769496476, 7769496479, 7769496480, 60090942, 10117316367, 60090943, 3568474596, 245794825, 245794826, 60090944, 60090945]",,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.0780828 51.5486334, -0.0776058 51.5486003, -0.077567 51.5484225, -0.0780881 51.5484653, -0.0780828 51.5486334))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2084534606, 3978941567, 652744042, 2084534614, 2084534606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1145839 51.5438522, -0.114651 51.5438413, -0.1152035 51.5437112, -0.116204 51.5435369, -0.1161463 51.5433909, -0.1159894 51.5434268, -0.1155723 51.5435427, -0.1149715 51.5436937, -0.1145866 51.5437771, -0.1142196 51.5438436, -0.1143238 51.543898, -0.1145839 51.5438522))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2086144115, 2086144113, 2086144109, 2086144119, 2086144117, 2086144116, 2086144112, 2086144110, 2086144118, 2086144114, 2086144111, 2086144115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2558898 51.6389771, -0.256115 51.6393659, -0.256547 51.6393434, -0.2568098 51.6390956, -0.2572156 51.6388632, -0.2573065 51.6389157, -0.2573983 51.6389687, -0.2570463 51.6391547, -0.2567903 51.6395395, -0.2567655 51.6395612, -0.2574044 51.6396437, -0.2581098 51.6396284, -0.2584687 51.6397315, -0.2587222 51.6397121, -0.2587108 51.6396825, -0.2584685 51.6390558, -0.2577889 51.6388814, -0.257023 51.6388349, -0.2562902 51.6388592, -0.2558898 51.6389771))",,,,,,,,Scratchwood Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[87036228, 2727787675, 2727787674, 412062651, 2086373551, 2086373565, 2086373553, 412062650, 412062649, 87036207, 87036209, 87036212, 87036214, 87036217, 267041409, 87036219, 87036221, 87036224, 87036226, 87036228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2563932 51.6394627, -0.2565843 51.6394809, -0.2567903 51.6395395, -0.2565692 51.6395565, -0.2563707 51.639848, -0.2561918 51.6394628, -0.2563932 51.6394627))",,,,,,,,Scratchwood Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2727787676, 412062653, 412062649, 2086373555, 2086373554, 2086373559, 2727787676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2701953 51.6436959, -0.2712467 51.643636, -0.2712145 51.6433697, -0.2720085 51.6433231, -0.2722123 51.6435228, -0.2725036 51.6434787, -0.2725342 51.6432698, -0.2728131 51.6431499, -0.2737894 51.6431766, -0.2738576 51.6433257, -0.2758923 51.6432432, -0.2759604 51.6428663, -0.2763214 51.6428503, -0.276246 51.6435723, -0.278324 51.6435969, -0.2786646 51.643479, -0.2789819 51.6435248, -0.2792298 51.6435005, -0.2833284 51.6426516, -0.2831273 51.6422078, -0.283307 51.6416909, -0.2833124 51.6405928, -0.2823655 51.6407424, -0.2820919 51.6404661, -0.2838421 51.6397911, -0.2842412 51.6396816, -0.2853089 51.6392605, -0.2870811 51.6385384, -0.2864907 51.6377411, -0.2862239 51.6373716, -0.2856647 51.637305, -0.2854732 51.637306, -0.2851671 51.6373075, -0.2844243 51.6375482, -0.2836845 51.637864, -0.2829912 51.6380341, -0.281999 51.6382046, -0.2813051 51.6383487, -0.2807053 51.6383247, -0.2799515 51.6382923, -0.2790748 51.6382728, -0.2788442 51.6382046, -0.2788261 51.6382527, -0.2787082 51.6382401, -0.278593 51.638233, -0.2784826 51.6382376, -0.2782688 51.6382501, -0.2778946 51.6382741, -0.2774657 51.6384688, -0.2768741 51.6386377, -0.2762099 51.6387622, -0.2755315 51.6387357, -0.2746354 51.638673, -0.2738666 51.6386002, -0.2741659 51.638913, -0.2742413 51.6391395, -0.2742264 51.639366, -0.2740828 51.6397587, -0.2738225 51.6401277, -0.2736048 51.6405227, -0.2732862 51.6409424, -0.2731539 51.6412849, -0.2728689 51.6418331, -0.2728218 51.6420921, -0.2723348 51.642164, -0.2719152 51.6421538, -0.2714395 51.6421274, -0.2706893 51.6420819, -0.2706244 51.6426906, -0.2703669 51.6433297, -0.2701953 51.6436959))",,,,,,,,Deacons Hill Open Space,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2086518983, 2086518908, 2086518971, 2086519000, 2086519006, 2086519011, 2086518997, 2086518989, 2086518946, 2086518942, 2086518922, 2086518925, 2086518930, 2086519002, 2086518978, 2086519004, 2086530864, 2086530855, 2086518968, 2086519009, 2086530862, 2086518954, 2086518986, 2086518912, 2086518950, 1098334801, 1098334802, 1098334803, 2086550553, 2086518974, 2086518995, 2086550512, 2086518915, 87038851, 87038853, 87038854, 87038856, 87038858, 87038859, 87038861, 87038863, 2086415588, 6418491694, 6418491693, 6418491695, 6418491692, 6418491696, 87036523, 87036527, 87036528, 87036529, 87036531, 87036533, 87036534, 87036124, 87036126, 87036128, 87036130, 87036132, 87036134, 87036135, 87036138, 87036140, 87036143, 87036146, 87036147, 87036148, 87036151, 2086518957, 2086518992, 2086518983]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2878752 51.6363513, -0.2867854 51.6365529, -0.2868612 51.636738, -0.2873333 51.6373772, -0.2874095 51.6374893, -0.2879127 51.6382295, -0.2892388 51.6378237, -0.2897412 51.6383287, -0.2898766 51.6384296, -0.289976 51.6384968, -0.2901069 51.6384968, -0.290572 51.6383427, -0.2929346 51.6380202, -0.2946566 51.6401677, -0.2939356 51.6405146, -0.2936312 51.640292, -0.2935172 51.6403548, -0.2932704 51.6401617, -0.2930702 51.6402578, -0.2917115 51.6409098, -0.2918456 51.6411195, -0.2916187 51.6412666, -0.292094 51.6413346, -0.2931884 51.6408619, -0.2940467 51.6411948, -0.2936068 51.6417275, -0.2958453 51.6421785, -0.296027 51.6420502, -0.2964047 51.6418052, -0.2964734 51.6416827, -0.296439 51.6415548, -0.2960665 51.6411263, -0.295958 51.6411571, -0.2957187 51.6409164, -0.2959011 51.6406501, -0.2973474 51.6409041, -0.2981113 51.6396848, -0.2983975 51.6397269, -0.298667 51.6396424, -0.2995328 51.6398979, -0.2997292 51.6400219, -0.2993826 51.6403971, -0.2997721 51.6405246, -0.2996079 51.6407666, -0.3002463 51.6409031, -0.3013997 51.6396082, -0.3019637 51.6397451, -0.3020861 51.6396673, -0.3022746 51.6394591, -0.3022913 51.6394314, -0.3024329 51.6392046, -0.3025512 51.6390927, -0.3026696 51.6390077, -0.3027828 51.6389607, -0.3028965 51.6389236, -0.3031122 51.6388002, -0.3031646 51.6387468, -0.3032302 51.6386531, -0.3032943 51.6383118, -0.3033157 51.6382338, -0.2998172 51.6375075, -0.3000028 51.6372419, -0.3003375 51.637028, -0.3006733 51.6367392, -0.3003675 51.6365295, -0.3010756 51.636363, -0.300963 51.6361699, -0.3022097 51.6363755, -0.3025477 51.6362663, -0.302333 51.6361106, -0.3021558 51.6360759, -0.3018924 51.6360592, -0.3017477 51.6359691, -0.301498 51.6359368, -0.3012607 51.635896, -0.3010761 51.6358506, -0.3008958 51.635787, -0.3007252 51.6357086, -0.3005723 51.6356246, -0.3004314 51.6355346, -0.3001261 51.635454, -0.299329 51.63538, -0.2977679 51.6352934, -0.2965288 51.6352967, -0.2956308 51.6353641, -0.2942843 51.6354441, -0.2927148 51.6356238, -0.292337 51.6356671, -0.290143 51.6359568, -0.2878752 51.6363513))",,,,,,,,Elstree Open Space,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[87030819, 2086563344, 27540621, 27539714, 2086550551, 27539722, 2086553341, 1107425623, 1107425633, 1107425631, 1107425629, 1107425628, 2086553342, 2086553348, 2086553340, 2086553351, 2086553349, 2086553354, 2086563366, 2086553352, 2086553344, 590896522, 590896524, 590896525, 590896528, 590896530, 590896533, 257916370, 257916369, 257916368, 257916367, 9723698413, 2086553347, 2086553346, 2086553356, 2086553357, 2086555933, 2086555919, 2086555939, 2086555902, 2086555924, 2086555931, 2086555942, 2086555937, 2086555904, 2086555900, 4085808264, 257915027, 2312241973, 2312907892, 257912844, 257912843, 257912842, 1472433138, 257912841, 257913609, 257913000, 257913095, 257914141, 4085808249, 2086555944, 2086555927, 2086555949, 2086555895, 2086555887, 2086555896, 2086555935, 2086555917, 27547984, 1472378959, 6311390304, 6311390303, 257909052, 2086563437, 2086563391, 1472365042, 257909050, 257909049, 1472365080, 1472365083, 2086563425, 2086563369, 2086563337, 2086563365, 2086563500, 2086563491, 87030822, 2086563399, 2086563342, 87030819]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((0.163432 51.5703339, 0.1612164 51.5701077, 0.1611526 51.5700947, 0.1612491 51.5697813, 0.161253 51.5697427, 0.1613175 51.5691005, 0.1630838 51.5692011, 0.163116 51.5689344, 0.1633729 51.5689376, 0.1633861 51.5691665, 0.163432 51.5703339))",,,,,,,,Jutsums Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[245040270, 245040271, 2087361549, 2087361535, 2087361544, 245782265, 2087361553, 2087361550, 245782266, 245040268, 245040270]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.247434 51.6253551, -0.2472838 51.6254018, -0.2454813 51.6256282, -0.243754 51.626161, -0.2430888 51.6267804, -0.2424166 51.627741, -0.24262 51.6277771, -0.2427938 51.627828, -0.2433302 51.6279279, -0.2434268 51.6278347, -0.2436199 51.6276948, -0.2440362 51.6277305, -0.2441349 51.6278347, -0.2440899 51.6279902, -0.2442315 51.6280278, -0.2444439 51.6280168, -0.2447465 51.6278014, -0.2449267 51.6275973, -0.2452962 51.6275621, -0.2454572 51.6271755, -0.2458327 51.626945, -0.2464335 51.6265754, -0.2467768 51.626622, -0.2471094 51.6264482, -0.2473782 51.6265011, -0.247788 51.6260278, -0.247434 51.6253551))",,,,,,,,Highwood Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[572684395, 572684394, 572684393, 572684392, 572684391, 1616219088, 1616219092, 1616219167, 1616219080, 1616219074, 1616219145, 1616219090, 1616219134, 1616219118, 1616219098, 1616219139, 1616219078, 1616219162, 1616219164, 1616219128, 2087436512, 2087436499, 2087436545, 2087436636, 2087436630, 572684396, 572684395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2355196 51.6280977, -0.2350797 51.6276017, -0.2352621 51.6270822, -0.2354123 51.6261498, -0.2353883 51.6259544, -0.2353891 51.6249946, -0.2356056 51.6249667, -0.2356914 51.6250466, -0.235833 51.625095, -0.2359772 51.62511, -0.2364299 51.6251206, -0.2366094 51.6251322, -0.2366914 51.6251439, -0.2368179 51.6251661, -0.2369918 51.6252196, -0.2372969 51.6253272, -0.2373657 51.6253567, -0.237551 51.6254383, -0.2376381 51.62548, -0.2378608 51.6256042, -0.2388054 51.6261923, -0.2391212 51.6263622, -0.2393914 51.6264998, -0.2396995 51.6265894, -0.2389668 51.6274366, -0.2386232 51.6273577, -0.2380508 51.6278162, -0.238006 51.6277789, -0.2378102 51.6278413, -0.2376734 51.6280087, -0.2376224 51.6280711, -0.2374615 51.6280744, -0.2372255 51.6281943, -0.2371537 51.6283252, -0.236402 51.6283468, -0.2363672 51.6284474, -0.2362036 51.6283284, -0.235938 51.6281344, -0.2356322 51.6280445, -0.2355196 51.6280977))",,,,,,,,Holcombe Dales,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2087456406, 2087460626, 2087460620, 2087460618, 169427207, 2087460622, 254987089, 254987090, 5166587811, 534037, 4939097528, 388271906, 534038, 5166587810, 5166587809, 201987, 5166587798, 5166587799, 5250542656, 5166588029, 5166587797, 5250542657, 201986, 586867568, 586867572, 586867576, 2087460615, 2087456478, 2087456527, 2087456439, 2087456433, 2087456468, 2087456476, 2087460624, 586867591, 2087456529, 2087456404, 2087456396, 2087456502, 2087456406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.186238 51.6379358, -0.1859031 51.6379879, -0.1834449 51.6385305, -0.1831284 51.638608, -0.1842731 51.6399361, -0.1848753 51.6399192, -0.1851343 51.6399156, -0.1856357 51.6398722, -0.1858818 51.6398982, -0.1859428 51.6399748, -0.1861292 51.6401607, -0.1870155 51.6401007, -0.1872234 51.6400618, -0.1886867 51.6402568, -0.1888984 51.6404035, -0.1888409 51.640568, -0.1893212 51.6406199, -0.1893212 51.6406663, -0.1893097 51.6407119, -0.1893055 51.6407284, -0.1892648 51.6408524, -0.189345 51.6409391, -0.1898417 51.6408987, -0.1897478 51.6407975, -0.1896724 51.6406421, -0.1895501 51.64056, -0.189374 51.6404866, -0.1891711 51.6403363, -0.1891818 51.640236, -0.1890841 51.6401136, -0.1890319 51.6400735, -0.1888734 51.6400236, -0.1887238 51.6400002, -0.1885575 51.6399615, -0.1883281 51.6399273, -0.1881277 51.63986, -0.1880138 51.6397928, -0.1877952 51.6397463, -0.1876628 51.6396858, -0.1876012 51.6396324, -0.1875797 51.6395825, -0.1875007 51.6394978, -0.1871213 51.639368, -0.1868568 51.639095, -0.1867367 51.6389304, -0.186587 51.6387987, -0.1863565 51.6385055, -0.1862828 51.6382919, -0.186262 51.6380745, -0.186238 51.6379358))",,,,,,,,Wyatts Farm Open Space,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[280803970, 695820, 695822, 2087809067, 7054727870, 13875116, 195843, 577531472, 1650939909, 10278912438, 13875117, 13875118, 1650942914, 1650942938, 13875119, 1650946858, 1674602529, 276885, 4675149091, 2919819, 1651005375, 13496685, 21596411, 2087799953, 280804013, 2087799946, 2087799973, 2087799985, 21596413, 280804001, 280804000, 280803997, 280803996, 280803995, 280803992, 21256377, 280803990, 280803989, 280803988, 280803987, 280803985, 280803984, 280803983, 280803982, 280803980, 280803978, 280803976, 280803974, 280803972, 280803970]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
