created_by,geometry,barrier,foot,source,access,description,landuse,highway,fixme,wheelchair,surface,name,operator,leaf_cycle,leaf_type,natural,opening_hours,note,nodes,sport,contact:website,wikidata,source:name,wikipedia,addr:city,addr:postcode,addr:street,leisure,old_name,alt_name,dog,private,landuse_2,operator:type,operator:wikidata,website,postal_code,lit,email,phone,public,not:name,area,golf:course,name:ga,addr:housenumber,source:alt_name,fhrs:id,source:addr,access:note,wheelchair:description,url,club,survey:date,owner,historic:leisure,name:en,name:zh,building,addr:housename,golf,pets_allowed,addr:country,addr:suburb,landcover,source:geometry,fence_type,level,mtb,amenity,community_centre,community_centre:for,facebook,ways,type,maxspeed,designation
,"POLYGON ((-0.3933164 51.4695824, -0.3926307 51.4695422, -0.3930142 51.4677604, -0.3937008 51.4678389, -0.3933164 51.4695824))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[25477973, 25477977, 25477975, 25477974, 25477973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3294352 51.4972001, -0.3285554 51.497417, -0.3275311 51.4961589, -0.3285769 51.495851, -0.3294352 51.4972001))",,,yahoo,,,recreation_ground,,,,,Eversheds Playing Fields,,,,,,,"[25479737, 25479740, 25479739, 25479738, 25479737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3309675 51.4995021, -0.3306865 51.4992584, -0.3292746 51.4979339, -0.3293549 51.4978304, -0.3299732 51.497674, -0.3303107 51.4975682, -0.3318054 51.4982734, -0.3322419 51.4987306, -0.3317016 51.4990423, -0.3309675 51.4995021))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[25479746, 7647564683, 4312402614, 4312402616, 4312402615, 254046271, 25479742, 25479741, 4512192118, 25479746]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3252579 51.5008019, -0.3246145 51.5010483, -0.3241 51.5012598, -0.3237618 51.5009639, -0.3240976 51.5008122, -0.3236696 51.5003882, -0.3238446 51.5003205, -0.3238186 51.5002983, -0.3235967 51.5000811, -0.3246911 51.4996537, -0.3252579 51.5008019))",,,yahoo,,,recreation_ground,,,,,West Ealing Sports Ground,,,,,,,"[25479747, 25479751, 1768596563, 1768596540, 1768596504, 1768596446, 1768596437, 251733736, 25479749, 25479748, 25479747]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0855795 51.5998338, 0.0917392 51.6013049, 0.0918389 51.6011364, 0.0919044 51.6011514, 0.0922978 51.6007159, 0.0919889 51.599497, 0.0896082 51.5997605, 0.0893131 51.5987542, 0.086352 51.5980211, 0.0855795 51.5998338))",,,,,,recreation_ground,,,,grass,,,,,,,,"[25516416, 25516377, 4183058182, 4183058184, 4183063742, 4183063745, 25516415, 25517817, 25518056, 25516416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0891323 51.5954214, 0.0858652 51.5944921, 0.0854132 51.5947599, 0.0851298 51.5948722, 0.0852255 51.5949918, 0.0849277 51.5950778, 0.0850908 51.5955277, 0.0853113 51.5967311, 0.0856025 51.5967095, 0.08585 51.5969587, 0.0861921 51.5971097, 0.0893131 51.5977546, 0.0894848 51.5967949, 0.08906 51.5966179, 0.088965 51.5963445, 0.0891323 51.5954214))",,,,,,recreation_ground,,,,grass,,,,,,,,"[747088733, 25520423, 8179281518, 321907607, 321907602, 25520424, 8179281517, 25520425, 5192828571, 5192828563, 25520427, 25520415, 25520418, 747088740, 8179281384, 747088733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1333872 51.4936935, -0.1345969 51.4919353, -0.1349724 51.4921324, -0.1356993 51.4925232, -0.1368553 51.4931177, -0.1358632 51.4943887, -0.1355989 51.4942805, -0.1354559 51.4945106, -0.1343331 51.4940936, -0.1333872 51.4936935))",,,,private,,recreation_ground,,,,,Westminster School Playing Field,,,,,,,"[25536873, 25536875, 3984148332, 3984148331, 25536876, 25536872, 6855377528, 6855377529, 10340270662, 25536873]",,,Q747772,,en:Vincent Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0870518 51.5920829, 0.0897331 51.5920589, 0.0892912 51.5905441, 0.0889269 51.5887316, 0.0877038 51.5887849, 0.0877215 51.58918, 0.0875536 51.5902914, 0.0874524 51.5904893, 0.0871449 51.590878, 0.0872389 51.5911792, 0.0870254 51.5918637, 0.0870518 51.5920829))",,,,,,recreation_ground,,,,,,,,,,,,"[25542648, 25542649, 25542650, 25542651, 25542652, 325233784, 25542653, 325233786, 325233785, 325233787, 325233788, 25542648]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0502602 51.6005941, 0.0517408 51.6003941, 0.0533556 51.6001644, 0.0530201 51.5994702, 0.0526826 51.598689, 0.0507108 51.5992212, 0.0505684 51.599231, 0.0496164 51.5992879, 0.0496594 51.5998477, 0.0502602 51.6005941))",,,,,,recreation_ground,,,,,,,,,,,,"[25580901, 25580902, 25580903, 322989183, 25580904, 25580905, 2293528949, 25580906, 25580907, 25580901]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.053908 51.5982083, 0.0555388 51.5975818, 0.0547253 51.5966901, 0.0544444 51.5963822, 0.0546492 51.596229, 0.0540153 51.5955291, 0.0520197 51.5962355, 0.0525991 51.5966088, 0.0531999 51.5972886, 0.053908 51.5982083))",,,,,,recreation_ground,,,,,,,,,,,,"[25580883, 25580884, 2129413686, 25580886, 322989731, 25580887, 25580888, 25580889, 25580890, 25580883]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
