,geo_code,Names,Borough,Population,Hectares,Square Kilometres,Population per hectare,pop_density,Unnamed: 8,Census population (2011),Population per hectare.1
565,E05000590,Cann Hall,Waltham Forest,20962,86.0,0.9,243.7,24374.0,,13799,160.5
566,E05000591,Cathall,Waltham Forest,14346,105.7,1.1,135.7,13572.0,,12700,120.2
567,E05000592,Chapel End,Waltham Forest,13933,184.2,1.8,75.6,7564.0,,14086,76.5
568,E05000593,Chingford Green,Waltham Forest,15883,372.8,3.7,42.6,4260.0,,10287,27.6
569,E05000594,Endlebury,Waltham Forest,11052,195.9,2.0,56.4,5642.0,,10730,54.8
570,E05000595,Forest,Waltham Forest,11863,198.5,2.0,59.8,5976.0,,12609,63.5
571,E05000596,Grove Green,Waltham Forest,13254,89.8,0.9,147.6,14759.0,,14604,162.6
572,E05000597,Hale End and Highams Park,Waltham Forest,16271,235.0,2.4,69.2,6924.0,,11355,48.3
573,E05000598,Hatch Lane,Waltham Forest,13192,241.8,2.4,54.6,5456.0,,11058,45.7
574,E05000599,High Street,Waltham Forest,11563,306.1,3.1,37.8,3778.0,,14127,46.2
575,E05000600,Higham Hill,Waltham Forest,16819,322.2,3.2,52.2,5220.0,,13194,40.9
576,E05000601,Hoe Street,Waltham Forest,17106,109.7,1.1,155.9,15593.0,,13912,126.8
577,E05000602,Larkswood,Waltham Forest,15372,206.9,2.1,74.3,7430.0,,11337,54.8
578,E05000603,Lea Bridge,Waltham Forest,12625,264.5,2.6,47.7,4773.0,,15671,59.2
579,E05000604,Leyton,Waltham Forest,18335,203.6,2.0,90.1,9005.0,,14184,69.7
580,E05000605,Leytonstone,Waltham Forest,18198,131.0,1.3,138.9,13892.0,,12879,98.3
581,E05000606,Markhouse,Waltham Forest,13512,145.4,1.5,92.9,9293.0,,13636,93.8
582,E05000607,Valley,Waltham Forest,16933,198.1,2.0,85.5,8548.0,,11444,57.8
583,E05000608,William Morris,Waltham Forest,12255,99.9,1.0,122.7,12267.0,,13269,132.8
584,E05000609,Wood Street,Waltham Forest,17445,184.5,1.8,94.6,9455.0,,13368,72.5
585,E05000610,Balham,Wandsworth,15355,120.8,1.2,127.1,12711.0,,14751,122.1
586,E05000611,Bedford,Wandsworth,15533,180.4,1.8,86.1,8610.0,,14575,80.8
587,E05000612,Earlsfield,Wandsworth,14409,141.1,1.4,102.1,10212.0,,15448,109.5
588,E05000613,East Putney,Wandsworth,17360,160.9,1.6,107.9,10789.0,,15022,93.4
589,E05000614,Fairfield,Wandsworth,16599,145.5,1.5,114.1,11408.0,,14613,100.4
590,E05000615,Furzedown,Wandsworth,17545,141.3,1.4,124.2,12417.0,,15504,109.7
591,E05000616,Graveney,Wandsworth,15724,100.8,1.0,156.0,15599.0,,15198,150.8
